objectid,best_ranked_model,mean_rank,median_rank,count_rank_1,count_rank_2,count_rank_3,count_rank_4,best_ranked_answer
m12965,meta-llama/llama-4-maverick,2.32,2.0,11,0,4,7,"Getrocknete Kartoffelpflanze mit Blüten und braunen Blättern auf vergilbtem Papier montiert, handschriftliche Beschriftung."
m13176,qwen/qwen3-vl-8b-instruct,1.95,2.0,9,7,4,2,"Fressender Narr in roter Narrenmütze, sitzend, Bierkrug haltend, neben Schwein, das aus Schale frisst. Stammbuchseite mit handschriftlichem Gedicht über Badeausflug und Exzesse."
m15298_1,qwen/qwen3-vl-8b-instruct,2.23,2.0,6,8,5,3,"Karte von Basel mit 18 neu erbauten Gotteshäusern (1912–1966), farbcodiert nach Konfession: römisch-katholisch (gelb), evangelisch-reformiert (blau), jüdisch (grün). Jeder Punkt mit Nummer und Name, inkl. Baujahr."
m20435,qwen/qwen3-vl-8b-instruct,1.82,1.5,11,5,5,1,"Grabinschrift des römischen Offiziers Lucius Munatius Plancus. Sie nennt seine Funktion, seine Gründung von Lugudunum und Raurica in Gallien und seine Tätigkeit in Italien."
m22924,qwen/qwen3-vl-8b-instruct,2.18,2.0,7,7,5,3,"Zirkumpolarer Panoramablick auf Basel von 1787, gezeichnet aus einem Kamin des Blauen Hauses. Schwarz-weiß, radial komponiert, mit detaillierter Darstellung der Stadt und Umgebung in 360-Grad-Perspektive."
m28635,openai/gpt-4o-mini,1.64,1.0,14,3,4,1,"Landschaft im frühen Mittelpaläolithikum, dargestellt mit einem Neandertaler, der ein Kind trägt. Im Hintergrund sind Wildtiere wie Mammute und Vögel sowie eine Wasserstelle zu sehen. Die Umgebung besteht aus grasbewachsenen Flächen und vereinzelten Bäumen."
m29084,qwen/qwen3-vl-8b-instruct,1.95,2.0,10,4,7,1,"Schematische Darstellung verschiedener frühmittelalterlicher Grabtypen: Steinplatten-, Mauer-, Kammer- und Brandgräber mit Hügeln, sowie einfache Erdbestattungen – jeweils mit Aufsicht und Querschnitt."
m34620,qwen/qwen3-vl-8b-instruct,2.27,2.0,9,3,5,5,"Ausgrabung des Chors der Peterskirche 1962: Überlagerung von Gründungsbaustufen – rechteckiger Chor (9./10. Jh.), romanische Apsis (10./11. Jh.), gotischer Chor (13. Jh.)."
m37030_1,openai/gpt-4o-mini,1.86,2.0,10,7,3,2,"Darstellung eines indirekten Wahlverfahrens im Mittelalter mit einem Kieserkollegium. Links der alte Rat und rechts der neue Rat, beide mit verschiedenen farbigen Kugeln zur Wahl. Die Wahlbehörde in der Mitte koordiniert den Prozess."
m37716,openai/gpt-4o-mini,2.0,2.0,8,9,2,3,"Längere Strecke der Innenstadtmauer, freigelegt 2020 während Bauarbeiten am Kunstmuseum. Sichtbar sind Mauerreste des städtischen Befestigungsrings, umgeben von Baugeräten und Arbeiter in Sicherheitskleidung."
m39198_1,qwen/qwen3-vl-8b-instruct,2.05,2.0,5,11,6,0,"Handelsnetz von Ulrich Meltinger (1468–1493): Verbindung von Produktionszentren (Flandern, England, Elsass) über Frankfurt mit Vertriebsorten in Basel, Zürich, Freiburg und Solothurn."
m82972,google/gemini-2.5-flash-lite,1.91,1.5,11,5,3,3,"Streudiagramm: Anteil der Life-Science-Industrie am BIP und deren durchschnittliche jährliche Wachstumsrate zwischen 2000 und 2010. Region Basel mit höchstem Anteil, Schanghai mit höchster Wachstumsrate."
m88415_1,meta-llama/llama-4-maverick,2.09,2.0,6,8,8,0,"Balkendiagramm: Zuschauerzahlen von FC Basel (blau) und Konzerten (gelb) im St. Jakob-Stadion, 1960–2022. Höchstwerte bei Fußballspielen ab 2001 im neuen St. Jakob-Park, Einbruch 2020 durch Corona-Pandemie."
m91000_1,meta-llama/llama-4-maverick,2.0,2.0,7,8,7,0,"Karte zeigt Herkunftsorte der Geschäftskorrespondenz an Forcart-Weis & Burckhardt-Wildt, 1865–1894; Basel als Zentrum mit Verbindungen nach Europa, Amerika und Asien."
m91960,meta-llama/llama-4-maverick,1.91,2.0,9,7,5,1,Antisemitische Karikatur zur Eisenbahnverstaatlichung 1898. Links: Wehrhafte Helvetia zwingt knienden Geldverleiher nieder. Rechts: Kniende Helvetia bittet reichen Juden um Geld. Kontrastdarstellung zum Volksentscheid über die Eisenbahnverstaatlichung.
m92357,google/gemini-2.5-flash-lite,2.36,2.5,8,3,6,5,"Fasnachtszettel der Vereinigten Spalemer von 1901 über die Zuwanderung nach Basel, mit provokanten Bezeichnungen für verschiedene Gruppen."
m92410,google/gemini-2.5-flash-lite,2.0,1.0,13,0,5,4,"Faltblatt der Gruppe ‹Freiräume für Frauen› (FFF) von 1992. Zwei Personen gehen eine Treppe hinunter, Frau mit Zigarette, Mann mit Sonnenbrille und Händen in den Hosentaschen."
m94271,openai/gpt-4o-mini,2.0,2.0,10,4,6,2,"Splitter einer Bombe aus der Festung Hüningen, 1815. Dunkler, kantiger Bombensplitter mit einer metallenen Kette, die daran befestigt ist. Die Oberfläche ist rustikal und zeigt Spuren von Gebrauch."
m94775,qwen/qwen3-vl-8b-instruct,1.68,2.0,9,11,2,0,"Afrikanischer Mann in traditioneller Kleidung, aufgerufen als „Ashanté“ für eine Herbstmesse-Anzeige 1834. Textausschnitt aus einer Zeitung mit Ankündigung seiner Präsentation in Basel."
m95804,qwen/qwen3-vl-8b-instruct,2.0,2.0,7,9,5,1,"Abbruch des St. Johanns-Schwibbogens im 19. Jahrhundert. Steinbogen mit Bruchstücken und Arbeitern; Umgebung städtisch, Gebäude an beiden Seiten."
